churn;plan_int;minutos_dias;llamadas_dias;minutos_int;llamdas_int;reclamos
No;no;265.1;110;10;3;1
No;no;161.6;123;13.7;3;1
No;no;243.4;114;12.2;5;0
No;yes;299.4;71;6.6;7;2
No;yes;166.7;113;10.1;3;3
No;yes;223.4;98;6.3;6;0
No;no;218.2;88;7.5;7;3
No;yes;157;79;7.1;6;0
No;no;184.5;97;8.7;4;1
No;yes;258.6;84;11.2;5;0
Yes;no;129.1;137;12.7;6;4
No;no;187.7;127;9.1;5;0
No;no;128.8;96;11.2;2;1
No;no;156.6;88;12.3;5;3
No;no;120.7;70;13.1;6;4
Yes;no;332.9;67;5.4;9;4
No;no;196.4;139;13.8;4;1
No;no;190.7;114;8.1;3;3
No;no;189.7;66;10;5;1
No;no;224.4;90;13;2;1
No;no;155.1;117;10.6;4;0
Yes;no;62.4;89;5.7;6;5
No;no;183;112;9.5;19;0
No;no;110.4;103;7.7;6;2
No;no;81.1;86;10.3;2;0
No;no;124.3;76;15.5;5;3
No;no;213;115;9.5;3;0
No;no;134.3;73;14.7;4;3
No;no;190;109;6.3;6;0
No;no;119.3;117;11.1;1;1
No;no;84.8;95;14.2;6;2
No;no;226.1;105;10.3;5;1
No;no;212;121;12.6;10;3
Yes;no;249.6;118;11.8;3;1
No;no;176.8;94;8.3;4;0
No;no;220;80;14.7;6;3
No;no;146.3;128;14.5;6;0
No;no;130.8;64;10;5;1
No;yes;203.9;106;10.5;6;3
No;no;140.4;94;11.1;9;1
No;no;126.3;102;9.4;2;3
Yes;yes;173.1;85;14.6;15;0
No;no;124.8;82;10;4;2
No;no;85.8;77;9.2;4;3
No;no;154;67;3.5;3;1
No;no;120.9;97;8.5;5;2
No;no;211.3;120;13.2;5;3
No;no;187;133;7.4;5;2
Yes;no;159.1;114;8.8;3;5
No;no;133.2;135;11;3;1
No;no;191.9;108;7.8;5;3
No;no;220.6;57;6.8;3;1
No;no;186.1;112;11.4;6;2
No;no;160.2;117;9.3;5;2
Yes;no;151;83;9.7;3;5
No;no;175.5;67;10.2;3;1
No;no;126.9;98;8;2;1
Yes;no;198.4;129;5.8;3;3
No;no;148.8;70;12.1;3;3
No;no;229.3;103;12;8;1
No;no;192.1;97;11.4;4;1
No;no;268.6;83;11.6;3;2
No;no;193.7;91;14.6;3;2
No;no;180.7;92;12.6;3;3
No;no;131.2;98;8.2;6;2
No;no;148.1;74;6.2;5;2
No;yes;251.5;105;9.3;4;0
No;yes;125.2;93;8.3;8;0
No;no;211.6;70;7.8;1;1
Yes;no;178.9;101;13.8;3;4
No;no;241.8;93;11.8;7;3
No;no;224.9;97;12.1;2;0
No;no;248.6;83;8;4;3
No;no;203.4;146;7.3;4;1
No;no;235.8;109;12;3;0
No;no;157.1;90;6.1;2;1
Yes;no;300.3;109;11.7;4;0
Yes;no;61.6;117;8.2;7;4
No;no;214.1;72;8.2;3;2
No;no;170.2;98;15;2;1
No;no;201.1;99;13.2;2;1
No;yes;215.4;104;12.6;5;3
No;no;165.6;123;11;2;3
No;no;249.5;101;9.8;4;1
Yes;no;210.6;96;12.4;1;2
No;no;179.3;104;8.6;7;0
Yes;no;157.9;105;8;5;4
No;no;214.3;118;12;2;1
No;no;154.1;104;10.9;9;2
Yes;no;237.9;125;13.9;4;1
No;no;143.9;61;11.1;2;1
Yes;no;203.4;100;8.9;4;0
No;no;124.3;100;7.9;9;1
No;no;252.9;93;9.5;7;3
No;no;179.1;71;10.6;7;3
No;no;278.4;106;9.8;5;1
No;no;160.1;110;13;4;0
No;no;198.2;87;8.7;3;4
Yes;no;212.1;131;5.3;5;1
Yes;no;251.8;72;9.8;7;2
No;no;161.2;114;4.4;8;4
No;no;178.3;137;14.6;5;0
No;no;151.7;82;10.5;6;0
No;no;135;99;12.5;9;1
No;no;170.5;94;11.3;2;1
No;no;238.1;65;11.8;4;4
No;no;281.4;102;9;6;2
No;no;117.9;131;9.8;3;1
No;no;148.6;91;10.1;1;1
No;no;229.8;90;9.6;7;3
No;no;165;100;8.3;8;1
No;no;185;117;12.6;2;2
No;no;161;117;12.1;4;4
No;no;126.7;108;13.3;7;1
